0.0050,-0.6287,-0.0210,-0.0311,-0.0019,-0.0053,-0.0001
0.0100,-0.6279,-0.0170,-0.0344,-0.0020,-0.0054,-0.0002
0.0150,-0.6330,-0.0207,-0.0406,-0.0020,-0.0052,-0.0000
0.0200,-0.6426,-0.0243,-0.0271,-0.0023,-0.0052,-0.0000
0.0250,-0.6315,-0.0235,-0.0315,-0.0021,-0.0053,0.0000
0.0300,-0.6266,-0.0150,-0.0395,-0.0019,-0.0053,-0.0001
0.0350,-0.6280,-0.0157,-0.0235,-0.0020,-0.0052,-0.0002
0.0400,-0.6307,-0.0173,-0.0177,-0.0020,-0.0053,0.0000
0.0450,-0.6316,-0.0208,-0.0300,-0.0020,-0.0053,-0.0001
0.0500,-0.6330,-0.0146,-0.0309,-0.0021,-0.0054,-0.0001
0.0550,-0.6309,-0.0206,-0.0267,-0.0022,-0.0053,0.0001
0.0600,-0.6327,-0.0137,-0.0330,-0.0020,-0.0052,-0.0000
0.0650,-0.6356,-0.0208,-0.0334,-0.0024,-0.0051,-0.0000
0.0700,-0.6307,-0.0184,-0.0221,-0.0020,-0.0052,-0.0001
0.0750,-0.6295,-0.0207,-0.0395,-0.0019,-0.0054,-0.0000
0.0800,-0.6345,-0.0156,-0.0381,-0.0022,-0.0056,-0.0001
0.0850,-0.6332,-0.0157,-0.0346,-0.0022,-0.0054,-0.0002
0.0900,-0.6355,-0.0215,-0.0351,-0.0021,-0.0053,-0.0001
0.0950,-0.6312,-0.0209,-0.0262,-0.0020,-0.0052,-0.0002
0.1000,-0.6300,-0.0122,-0.0308,-0.0019,-0.0051,-0.0001
0.1050,-0.6342,-0.0161,-0.0345,-0.0019,-0.0054,-0.0000
0.1100,-0.6309,-0.0227,-0.0368,-0.0021,-0.0053,-0.0000
0.1150,-0.6270,-0.0159,-0.0413,-0.0017,-0.0054,0.0002
0.1200,-0.6297,-0.0153,-0.0300,-0.0017,-0.0051,-0.0001
0.1250,-0.6371,-0.0206,-0.0266,-0.0022,-0.0052,-0.0001
0.1300,-0.6339,-0.0172,-0.0238,-0.0022,-0.0053,-0.0003
0.1350,-0.6302,-0.0187,-0.0357,-0.0020,-0.0055,0.0001
0.1400,-0.6291,-0.0205,-0.0326,-0.0023,-0.0054,-0.0000
0.1450,-0.6379,-0.0156,-0.0340,-0.0020,-0.0052,-0.0001
0.1500,-0.6391,-0.0151,-0.0293,-0.0022,-0.0053,-0.0001
0.1550,-0.6257,-0.0150,-0.0197,-0.0019,-0.0053,0.0000
0.1600,-0.6239,-0.0219,-0.0365,-0.0020,-0.0052,-0.0001
0.1650,-0.6327,-0.0147,-0.0370,-0.0022,-0.0055,-0.0001
0.1700,-0.6400,-0.0208,-0.0320,-0.0021,-0.0051,0.0001
0.1750,-0.6403,-0.0232,-0.0351,-0.0020,-0.0052,0.0000
0.1800,-0.6271,-0.0164,-0.0232,-0.0021,-0.0054,-0.0000
0.1850,-0.6299,-0.0188,-0.0383,-0.0021,-0.0053,-0.0001
0.1900,-0.6339,-0.0184,-0.0325,-0.0021,-0.0052,-0.0001
0.1950,-0.6386,-0.0156,-0.0406,-0.0020,-0.0053,0.0000
0.2000,-0.6307,-0.0172,-0.0179,-0.0019,-0.0051,-0.0000
0.2050,-0.6225,-0.0158,-0.0381,-0.0018,-0.0055,-0.0001
0.2100,-0.6297,-0.0176,-0.0281,-0.0021,-0.0055,-0.0000
0.2150,-0.6394,-0.0124,-0.0283,-0.0020,-0.0051,-0.0001
0.2200,-0.6293,-0.0204,-0.0279,-0.0021,-0.0056,-0.0002
0.2250,-0.6271,-0.0194,-0.0199,-0.0020,-0.0052,-0.0003
0.2300,-0.6276,-0.0191,-0.0344,-0.0021,-0.0053,0.0001
0.2350,-0.6309,-0.0212,-0.0493,-0.0023,-0.0053,-0.0003
0.2400,-0.6408,-0.0158,-0.0302,-0.0021,-0.0053,0.0000
0.2450,-0.6322,-0.0252,-0.0382,-0.0018,-0.0054,-0.0002
0.2500,-0.6284,-0.0210,-0.0225,-0.0021,-0.0055,-0.0000
0.2550,-0.6369,-0.0156,-0.0433,-0.0019,-0.0051,-0.0001
0.2600,-0.6393,-0.0168,-0.0426,-0.0019,-0.0052,-0.0001
0.2650,-0.6333,-0.0217,-0.0247,-0.0022,-0.0052,-0.0001
0.2700,-0.6295,-0.0152,-0.0316,-0.0022,-0.0053,-0.0000
0.2750,-0.6337,-0.0216,-0.0339,-0.0018,-0.0053,0.0000
0.2800,-0.6382,-0.0135,-0.0421,-0.0019,-0.0053,-0.0002
0.2850,-0.6302,-0.0148,-0.0320,-0.0022,-0.0054,-0.0002
